uid;source;target;weight;timestamp
245;MKCOL,/lobcder/dav/testResourceId/folder4;MKCOL,/lobcder/dav/testResourceId/folder4;32;2014-01-14 14:12:20
246;MKCOL,/lobcder/dav/testResourceId/folder4;PUT,/lobcder/dav/testResourceId/folder4/file5;32;2014-01-14 14:12:20
247;PUT,/lobcder/dav/testResourceId/folder4/file5;PUT,/lobcder/dav/testResourceId/folder4/file5;32;2014-01-14 14:12:20
248;PUT,/lobcder/dav/testResourceId/folder4/file5;PROPFIND,/lobcder/dav/testResourceId;32;2014-01-14 14:12:20
249;PROPFIND,/lobcder/dav/testResourceId;PROPFIND,/lobcder/dav/testResourceId;55;2014-01-14 14:11:35
250;PROPFIND,/lobcder/dav/testResourceId;DELETE,/lobcder/dav/testResourceId;33;2014-01-14 14:12:21
251;PROPFIND,/lobcder/dav/testFileName1.txt;PROPPATCH,/lobcder/dav/testFileName1.txt;8;2014-01-14 14:12:36
252;PROPPATCH,/lobcder/dav/testFileName1.txt;PROPFIND,/lobcder/dav/testFileName1.txt;8;2014-01-14 14:12:36
253;DELETE,/lobcder/dav/testFileName1.txt;DELETE,/lobcder/dav/testResourceId;5;2013-11-11 18:11:03
254;PROPFIND,/lobcder/dav/testResourceId;PROPPATCH,/lobcder/dav/testResourceId;24;2014-01-14 14:11:35
255;PROPPATCH,/lobcder/dav/testResourceId;PROPFIND,/lobcder/dav/testResourceId;24;2014-01-14 14:11:35
256;PUT,/lobcder/dav/testResourceId/file1;PROPFIND,/lobcder/dav/testResourceId/file1;16;2014-01-14 14:11:36
257;PROPFIND,/lobcder/dav/testResourceId/file1;PROPFIND,/lobcder/dav/testResourceId/file1;32;2014-01-14 14:11:36
258;PROPFIND,/lobcder/dav/testResourceId/file1;PROPPATCH,/lobcder/dav/testResourceId/file1;16;2014-01-14 14:11:36
259;PROPPATCH,/lobcder/dav/testResourceId/file1;PROPFIND,/lobcder/dav/testResourceId/file1;16;2014-01-14 14:11:36
260;PROPFIND,/lobcder/dav/testResourceId/file1;DELETE,/lobcder/dav/testResourceId;16;2014-01-14 14:11:36
268;PUT,/lobcder/dav/testCollection/file1;PUT,/lobcder/dav/testCollection/file1;15;2014-01-14 14:11:53
269;PUT,/lobcder/dav/testCollection/file1;GET,/lobcder/dav/testCollection/file1;8;2014-01-14 14:11:52
270;GET,/lobcder/dav/testCollection/file1;GET,/lobcder/dav/testCollection/file1;86;2014-01-14 14:12:10
271;GET,/lobcder/dav/testCollection/file1;DELETE,/lobcder/dav/testCollection;14;2014-01-14 14:12:10
272;DELETE,/lobcder/dav/testCollection;DELETE,/lobcder/dav/testCollection;14;2014-01-14 14:12:10
277;GET,/lobcder/dav/file_200M;PROPFIND,/lobcder/dav;7;2013-11-14 14:13:23
278;PROPFIND,/lobcder/dav;OPTIONS,/lobcder/dav;310;2014-01-16 14:41:47
279;OPTIONS,/lobcder/dav;PROPFIND,/lobcder/dav;622;2014-01-16 13:57:17
280;PROPFIND,/lobcder/dav;PROPFIND,/lobcder/dav/skoulouz;246;2014-01-14 19:17:03
281;PROPFIND,/lobcder/dav/skoulouz;PROPFIND,/lobcder/dav;224;2014-01-14 16:18:31
